协议,模型,模型目录,口径,十维均分_分母10000,保留分数总和,整题归零题数,整题归零比例,整体满意度_均分_分母1000,对话意愿_均分_分母1000,情绪愉悦度_均分_分母1000,意图判断准确_均分_分母1000,记忆信息准确_均分_分母1000,信息内容表达清晰_均分_分母1000,交流流畅_均分_分母1000,情感表达恰当_均分_分母1000,风格恰当_均分_分母1000,社会智能_均分_分母1000
old,GPT-4o,gpt_4o,A_raw,4.0597,40597,485,0.485,4.031,4.017,3.953,4.636,3.855,4.378,3.887,3.896,4.052,3.892
old,GPT-4o,gpt_4o,B_single_zero,3.6982,36982,485,0.485,3.906,3.921,3.683,4.57,2.599,4.378,3.407,3.411,3.737,3.37
old,GPT-4o,gpt_4o,C_whole_zero,2.2,22000,485,0.485,2.125,2.106,2.101,2.523,2.338,2.266,2.106,2.115,2.188,2.132
old,GPT-OSS-20B,gpt_oss_20b,A_raw,4.152,41520,365,0.365,4.059,4.061,3.964,4.743,4.137,4.428,4.009,3.967,4.108,4.044
old,GPT-OSS-20B,gpt_oss_20b,B_single_zero,3.8428,38428,365,0.365,3.88,3.94,3.575,4.624,3.379,4.395,3.709,3.53,3.723,3.673
old,GPT-OSS-20B,gpt_oss_20b,C_whole_zero,2.7647,27647,365,0.365,2.661,2.645,2.637,3.134,2.927,2.856,2.659,2.657,2.75,2.721
old,Harmonic Step600,harmonic_step600,A_raw,4.5952,45952,105,0.105,4.495,4.534,4.421,4.901,4.657,4.659,4.603,4.519,4.573,4.59
old,Harmonic Step600,harmonic_step600,B_single_zero,4.5205,45205,105,0.105,4.426,4.5,4.3,4.848,4.48,4.646,4.556,4.422,4.503,4.524
old,Harmonic Step600,harmonic_step600,C_whole_zero,4.1928,41928,105,0.105,4.107,4.128,4.043,4.449,4.299,4.213,4.197,4.131,4.169,4.192
old,OPSD Step1192,opsd_step1192,A_raw,4.4578,44578,179,0.179,4.343,4.405,4.273,4.874,4.514,4.483,4.486,4.371,4.358,4.471
old,OPSD Step1192,opsd_step1192,B_single_zero,4.3023,43023,179,0.179,4.225,4.33,4.031,4.8,4.245,4.371,4.389,4.195,4.088,4.349
old,OPSD Step1192,opsd_step1192,C_whole_zero,3.789,37890,179,0.179,3.679,3.718,3.648,4.084,3.903,3.781,3.805,3.716,3.755,3.801
old,OPSD Step900,opsd_step900,A_raw,4.5234,45234,150,0.15,4.445,4.466,4.352,4.938,4.531,4.542,4.522,4.458,4.455,4.525
old,OPSD Step900,opsd_step900,B_single_zero,4.4456,44456,150,0.15,4.421,4.463,4.208,4.921,4.217,4.542,4.501,4.359,4.353,4.471
old,OPSD Step900,opsd_step900,C_whole_zero,3.9288,39288,150,0.15,3.847,3.861,3.796,4.235,4.027,3.905,3.923,3.883,3.876,3.935
old,Qwen3.5-9B 原版,qwen35_9b_base,A_raw,4.2858,42858,301,0.301,4.209,4.198,4.123,4.784,4.205,4.52,4.174,4.136,4.314,4.195
old,Qwen3.5-9B 原版,qwen35_9b_base,B_single_zero,4.0908,40908,301,0.301,4.135,4.153,3.945,4.724,3.456,4.507,4.0,3.869,4.164,3.955
old,Qwen3.5-9B 原版,qwen35_9b_base,C_whole_zero,3.1142,31142,301,0.301,3.027,3.01,2.978,3.452,3.244,3.201,3.029,3.014,3.123,3.064
new,GPT-4o,gpt_4o,A_raw,4.3624,43624,79,0.079,4.151,4.171,4.189,4.48,4.62,4.727,4.32,4.239,4.356,4.371
new,GPT-4o,gpt_4o,B_single_zero,4.2913,42913,79,0.079,4.038,4.089,4.118,4.368,4.485,4.71,4.296,4.18,4.326,4.303
new,GPT-4o,gpt_4o,C_whole_zero,4.0677,40677,79,0.079,3.878,3.885,3.897,4.209,4.347,4.386,4.007,3.943,4.047,4.078
new,GPT-OSS-20B,gpt_oss_20b,A_raw,4.2144,42144,219,0.219,4.004,4.065,4.122,4.264,4.287,4.607,4.174,4.153,4.229,4.239
new,GPT-OSS-20B,gpt_oss_20b,B_single_zero,3.9723,39723,219,0.219,3.635,3.789,3.924,3.92,3.891,4.508,3.985,3.967,4.11,3.994
new,GPT-OSS-20B,gpt_oss_20b,C_whole_zero,3.4258,34258,219,0.219,3.287,3.3,3.31,3.527,3.597,3.692,3.366,3.337,3.389,3.453
new,Harmonic Step600,harmonic_step600,A_raw,4.1558,41558,294,0.294,3.967,4.089,4.145,4.264,3.998,4.454,4.156,4.158,4.154,4.173
new,Harmonic Step600,harmonic_step600,B_single_zero,3.829,38290,294,0.294,3.508,3.772,3.905,3.882,3.349,4.367,3.89,3.904,3.923,3.79
new,Harmonic Step600,harmonic_step600,C_whole_zero,3.1212,31212,294,0.294,2.992,3.049,3.055,3.259,3.242,3.215,3.081,3.082,3.066,3.171
new,OPSD Step1192,opsd_step1192,A_raw,4.1991,41991,258,0.258,4.036,4.136,4.161,4.364,4.157,4.385,4.17,4.186,4.148,4.248
new,OPSD Step1192,opsd_step1192,B_single_zero,3.9109,39109,258,0.258,3.668,3.859,3.946,4.053,3.6,4.247,3.924,3.974,3.901,3.937
new,OPSD Step1192,opsd_step1192,C_whole_zero,3.2847,32847,258,0.258,3.16,3.217,3.215,3.453,3.434,3.324,3.235,3.244,3.217,3.348
new,OPSD Step900,opsd_step900,A_raw,4.3809,43809,153,0.153,4.231,4.315,4.322,4.562,4.41,4.504,4.34,4.36,4.313,4.452
new,OPSD Step900,opsd_step900,B_single_zero,4.2461,42461,153,0.153,4.055,4.202,4.242,4.416,4.056,4.436,4.245,4.268,4.218,4.323
new,OPSD Step900,opsd_step900,C_whole_zero,3.8113,38113,153,0.153,3.683,3.742,3.736,3.998,3.946,3.855,3.759,3.778,3.731,3.885
new,Qwen3.5-9B 原版,qwen35_9b_base,A_raw,4.3435,43435,129,0.129,4.131,4.176,4.222,4.452,4.454,4.664,4.321,4.276,4.35,4.389
new,Qwen3.5-9B 原版,qwen35_9b_base,B_single_zero,4.2159,42159,129,0.129,3.93,4.035,4.144,4.271,4.205,4.621,4.215,4.189,4.291,4.258
new,Qwen3.5-9B 原版,qwen35_9b_base,C_whole_zero,3.8756,38756,129,0.129,3.698,3.719,3.736,4.005,4.064,4.124,3.845,3.788,3.858,3.919
