协议,模型,A_原始均分,B_单维归零,C_整题归零,整题归零题数,整题归零比例,C_保留分数总和
旧版十维,GPT-4o,4.0597,3.6982,2.2,485,0.485,22000
旧版十维,GPT-OSS-20B,4.152,3.8428,2.7647,365,0.365,27647
旧版十维,Harmonic Step600,4.5952,4.5205,4.1928,105,0.105,41928
旧版十维,OPSD Step1192,4.4578,4.3023,3.789,179,0.179,37890
旧版十维,OPSD Step900,4.5234,4.4456,3.9288,150,0.15,39288
旧版十维,Qwen3.5-9B 原版,4.2858,4.0908,3.1142,301,0.301,31142
新版十维,GPT-4o,4.3624,4.2913,4.0677,79,0.079,40677
新版十维,GPT-OSS-20B,4.2144,3.9723,3.4258,219,0.219,34258
新版十维,Harmonic Step600,4.1558,3.829,3.1212,294,0.294,31212
新版十维,OPSD Step1192,4.1991,3.9109,3.2847,258,0.258,32847
新版十维,OPSD Step900,4.3809,4.2461,3.8113,153,0.153,38113
新版十维,Qwen3.5-9B 原版,4.3435,4.2159,3.8756,129,0.129,38756
