题库,模型,题数,四维均分,四维调和分,OP惩罚后最终分,OP低于4题数,OP低于4比例
早期题库,GPT-4o,1000,4.615381518481518,4.592084063816263,4.592084063816263,4,0.004
早期题库,GPT-OSS-20B,1000,4.542197764735264,4.514037304358385,4.510254999115795,43,0.043
修订题库,GPT-OSS-20B,1000,4.585723688811188,4.56068864903466,4.556593839169935,32,0.032
早期题库,Harmonic Step600,1000,4.576758379120879,4.543911124434438,4.52800926461441,107,0.107
修订题库,Harmonic Step600,1000,4.5777470154845155,4.5448085574827575,4.524553091865427,114,0.114
早期题库,OPSD Step1192,1000,4.638527772227772,4.615177817877998,4.605081059507152,63,0.063
修订题库,OPSD Step1192,1000,4.639260227272727,4.612993724186912,4.602668474367365,66,0.066
早期题库,OPSD Step900,1000,4.755769343156843,4.739950925894232,4.7358361316282505,21,0.021
修订题库,OPSD Step900,1000,4.76180944055944,4.745391539572199,4.742450449125741,24,0.024
早期题库,Qwen3.5-9B 原版,1000,4.626741933066933,4.605029745387664,4.600619419230298,27,0.027
修订题库,Qwen3.5-9B 原版,1000,4.632133466533467,4.608184015163426,4.605378280773283,23,0.023
